date,location,population,new_cases,total_cases,new_deaths,total_deaths,new_vaccinations,total_vaccinations,moving_avg_7d,cases_per_100k,vaccination_pct,case_fatality_rate
2020-01-24,Kosovo,1800000,455,12831,5,141,0,0,478.7,712.83,0.0,1.099
2020-01-25,Kosovo,1800000,463,13294,4,145,0,0,471.0,738.56,0.0,1.091
2020-01-26,Kosovo,1800000,456,13750,5,150,0,0,464.7,763.89,0.0,1.091
2020-01-27,Kosovo,1800000,432,14182,5,155,0,0,459.9,787.89,0.0,1.093
2020-01-28,Kosovo,1800000,456,14638,5,160,0,0,454.1,813.22,0.0,1.093
2020-01-29,Kosovo,1800000,416,15054,4,164,0,0,445.9,836.33,0.0,1.089
2020-01-30,Kosovo,1800000,430,15484,5,169,0,0,444.0,860.22,0.0,1.091
2020-01-31,Kosovo,1800000,409,15893,4,173,0,0,437.4,882.94,0.0,1.089
2020-02-01,Kosovo,1800000,391,16284,4,177,0,0,427.1,904.67,0.0,1.087
2020-02-02,Kosovo,1800000,419,16703,5,182,0,0,421.9,927.94,0.0,1.09
2020-02-03,Kosovo,1800000,397,17100,5,187,0,0,416.9,950.0,0.0,1.094
2020-02-04,Kosovo,1800000,398,17498,4,191,0,0,408.6,972.11,0.0,1.092
2020-02-05,Kosovo,1800000,391,17889,5,196,0,0,405.0,993.83,0.0,1.096
2020-02-06,Kosovo,1800000,378,18267,5,201,0,0,397.6,1014.83,0.0,1.1
2020-02-07,Kosovo,1800000,325,18592,4,205,0,0,385.6,1032.89,0.0,1.103
2020-02-08,Kosovo,1800000,367,18959,4,209,0,0,382.1,1053.28,0.0,1.102
2020-02-09,Kosovo,1800000,361,19320,3,212,0,0,373.9,1073.33,0.0,1.097
2020-02-10,Kosovo,1800000,349,19669,4,216,0,0,367.0,1092.72,0.0,1.098
2020-02-11,Kosovo,1800000,373,20042,4,220,0,0,363.4,1113.44,0.0,1.098
2020-02-12,Kosovo,1800000,325,20367,3,223,0,0,354.0,1131.5,0.0,1.095
2020-02-13,Kosovo,1800000,353,20720,4,227,0,0,350.4,1151.11,0.0,1.096
2020-02-14,Kosovo,1800000,325,21045,4,231,0,0,350.4,1169.17,0.0,1.098
2020-02-15,Kosovo,1800000,334,21379,4,235,0,0,345.7,1187.72,0.0,1.099
2020-02-16,Kosovo,1800000,318,21697,3,238,0,0,339.6,1205.39,0.0,1.097
2020-02-17,Kosovo,1800000,321,22018,3,241,0,0,335.6,1223.22,0.0,1.095
2020-02-18,Kosovo,1800000,332,22350,4,245,0,0,329.7,1241.67,0.0,1.096
2020-02-19,Kosovo,1800000,325,22675,3,248,0,0,329.7,1259.72,0.0,1.094
2020-02-20,Kosovo,1800000,297,22972,3,251,0,0,321.7,1276.22,0.0,1.093
2020-02-21,Kosovo,1800000,314,23286,3,254,0,0,320.1,1293.67,0.0,1.091
2020-02-22,Kosovo,1800000,315,23601,3,257,0,0,317.4,1311.17,0.0,1.089
2020-02-23,Kosovo,1800000,350,23951,4,261,0,0,322.0,1330.61,0.0,1.09
2020-02-24,Kosovo,1800000,319,24270,3,264,0,0,321.7,1348.33,0.0,1.088
2020-02-25,Kosovo,1800000,280,24550,3,267,0,0,314.3,1363.89,0.0,1.088
2020-02-26,Kosovo,1800000,315,24865,4,271,0,0,312.9,1381.39,0.0,1.09
2020-02-27,Kosovo,1800000,311,25176,3,274,0,0,314.9,1398.67,0.0,1.088
2020-02-28,Kosovo,1800000,314,25490,3,277,0,0,314.9,1416.11,0.0,1.087
2020-02-29,Kosovo,1800000,336,25826,4,281,0,0,317.9,1434.78,0.0,1.088
2020-03-01,Kosovo,1800000,329,26155,3,284,0,0,314.9,1453.06,0.0,1.086
2020-03-02,Kosovo,1800000,341,26496,3,287,0,0,318.0,1472.0,0.0,1.083
2020-03-03,Kosovo,1800000,326,26822,4,291,0,0,324.6,1490.11,0.0,1.085
2020-03-04,Kosovo,1800000,298,27120,3,294,0,0,322.1,1506.67,0.0,1.084
2020-03-05,Kosovo,1800000,318,27438,3,297,0,0,323.1,1524.33,0.0,1.082
2020-03-06,Kosovo,1800000,288,27726,3,300,0,0,319.4,1540.33,0.0,1.082
2020-03-07,Kosovo,1800000,297,28023,3,303,0,0,313.9,1556.83,0.0,1.081
2020-03-08,Kosovo,1800000,300,28323,4,307,0,0,309.7,1573.5,0.0,1.084
2020-03-09,Kosovo,1800000,303,28626,3,310,0,0,304.3,1590.33,0.0,1.083
2020-03-10,Kosovo,1800000,332,28958,3,313,0,0,305.1,1608.78,0.0,1.081
2020-03-11,Kosovo,1800000,321,29279,4,317,0,0,308.4,1626.61,0.0,1.083
2020-03-12,Kosovo,1800000,289,29568,3,320,0,0,304.3,1642.67,0.0,1.082
2020-03-13,Kosovo,1800000,322,29890,4,324,0,0,309.1,1660.56,0.0,1.084
2020-03-14,Kosovo,1800000,296,30186,3,327,0,0,309.0,1677.0,0.0,1.083
2020-03-15,Kosovo,1800000,327,30513,4,331,0,0,312.9,1695.17,0.0,1.085
2020-03-16,Kosovo,1800000,323,30836,4,335,0,0,315.7,1713.11,0.0,1.086
2020-03-17,Kosovo,1800000,306,31142,3,338,0,0,312.0,1730.11,0.0,1.085
2020-03-18,Kosovo,1800000,324,31466,3,341,0,0,312.4,1748.11,0.0,1.084
2020-03-19,Kosovo,1800000,352,31818,4,345,0,0,321.4,1767.67,0.0,1.084
2020-03-20,Kosovo,1800000,298,32116,3,348,0,0,318.0,1784.22,0.0,1.084
2020-03-21,Kosovo,1800000,302,32418,3,351,0,0,318.9,1801.0,0.0,1.083
2020-03-22,Kosovo,1800000,340,32758,3,354,0,0,320.7,1819.89,0.0,1.081
2020-03-23,Kosovo,1800000,337,33095,4,358,0,0,322.7,1838.61,0.0,1.082
2020-03-24,Kosovo,1800000,334,33429,4,362,0,0,326.7,1857.17,0.0,1.083
2020-03-25,Kosovo,1800000,315,33744,3,365,0,0,325.4,1874.67,0.0,1.082
2020-03-26,Kosovo,1800000,304,34048,3,368,0,0,318.6,1891.56,0.0,1.081
2020-03-27,Kosovo,1800000,319,34367,3,371,0,0,321.6,1909.28,0.0,1.08
2020-03-28,Kosovo,1800000,325,34692,4,375,0,0,324.9,1927.33,0.0,1.081
2020-03-29,Kosovo,1800000,321,35013,4,379,0,0,322.1,1945.17,0.0,1.082
2020-03-30,Kosovo,1800000,316,35329,4,383,0,0,319.1,1962.72,0.0,1.084
2020-03-31,Kosovo,1800000,332,35661,3,386,0,0,318.9,1981.17,0.0,1.082
2020-04-01,Kosovo,1800000,302,35963,3,389,0,0,317.0,1997.94,0.0,1.082
2020-04-02,Kosovo,1800000,317,36280,4,393,0,0,318.9,2015.56,0.0,1.083
2020-04-03,Kosovo,1800000,330,36610,3,396,0,0,320.4,2033.89,0.0,1.082
2020-04-04,Kosovo,1800000,306,36916,3,399,0,0,317.7,2050.89,0.0,1.081
2020-04-05,Kosovo,1800000,313,37229,4,403,0,0,316.6,2068.28,0.0,1.082
2020-04-06,Kosovo,1800000,325,37554,3,406,0,0,317.9,2086.33,0.0,1.081
2020-04-07,Kosovo,1800000,325,37879,4,410,0,0,316.9,2104.39,0.0,1.082
2020-04-08,Kosovo,1800000,306,38185,3,413,0,0,317.4,2121.39,0.0,1.082
2020-04-09,Kosovo,1800000,323,38508,3,416,0,0,318.3,2139.33,0.0,1.08
2020-04-10,Kosovo,1800000,328,38836,4,420,0,0,318.0,2157.56,0.0,1.081
2020-04-11,Kosovo,1800000,342,39178,4,424,0,0,323.1,2176.56,0.0,1.082
2020-04-12,Kosovo,1800000,297,39475,3,427,0,0,320.9,2193.06,0.0,1.082
2020-04-13,Kosovo,1800000,332,39807,4,431,0,0,321.9,2211.5,0.0,1.083
2020-04-14,Kosovo,1800000,332,40139,5,436,0,0,322.9,2229.94,0.0,1.086
2020-04-15,Kosovo,1800000,333,40472,4,440,0,0,326.7,2248.44,0.0,1.087
2020-04-16,Kosovo,1800000,340,40812,4,444,0,0,329.1,2267.33,0.0,1.088
2020-04-17,Kosovo,1800000,317,41129,4,448,0,0,327.6,2284.94,0.0,1.089
2020-04-18,Kosovo,1800000,309,41438,3,451,0,0,322.9,2302.11,0.0,1.088
2020-04-19,Kosovo,1800000,314,41752,3,454,0,0,325.3,2319.56,0.0,1.087
2020-04-20,Kosovo,1800000,365,42117,3,457,0,0,330.0,2339.83,0.0,1.085
2020-04-21,Kosovo,1800000,337,42454,3,460,0,0,330.7,2358.56,0.0,1.084
2020-04-22,Kosovo,1800000,320,42774,4,464,0,0,328.9,2376.33,0.0,1.085
2020-04-23,Kosovo,1800000,333,43107,3,467,0,0,327.9,2394.83,0.0,1.083
2020-04-24,Kosovo,1800000,322,43429,4,471,0,0,328.6,2412.72,0.0,1.085
2020-04-25,Kosovo,1800000,325,43754,3,474,0,0,330.9,2430.78,0.0,1.083
2020-04-26,Kosovo,1800000,343,44097,3,477,0,0,335.0,2449.83,0.0,1.082
2020-04-27,Kosovo,1800000,383,44480,4,481,0,0,337.6,2471.11,0.0,1.081
2020-04-28,Kosovo,1800000,312,44792,3,484,0,0,334.0,2488.44,0.0,1.081
2020-04-29,Kosovo,1800000,339,45131,4,488,0,0,336.7,2507.28,0.0,1.081
2020-04-30,Kosovo,1800000,340,45471,4,492,0,0,337.7,2526.17,0.0,1.082
2020-05-01,Kosovo,1800000,366,45837,4,496,0,0,344.0,2546.5,0.0,1.082
2020-05-02,Kosovo,1800000,338,46175,3,499,0,0,345.9,2565.28,0.0,1.081
2020-05-03,Kosovo,1800000,354,46529,3,502,0,0,347.4,2584.94,0.0,1.079
2020-05-04,Kosovo,1800000,397,46926,4,506,0,0,349.4,2607.0,0.0,1.078
2020-05-05,Kosovo,1800000,345,47271,4,510,0,0,354.1,2626.17,0.0,1.079
2020-05-06,Kosovo,1800000,409,47680,5,515,0,0,364.1,2648.89,0.0,1.08
2020-05-07,Kosovo,1800000,346,48026,3,518,0,0,365.0,2668.11,0.0,1.079
2020-05-08,Kosovo,1800000,399,48425,4,522,0,0,369.7,2690.28,0.0,1.078
2020-05-09,Kosovo,1800000,386,48811,4,526,0,0,376.6,2711.72,0.0,1.078
2020-05-10,Kosovo,1800000,364,49175,4,530,0,0,378.0,2731.94,0.0,1.078
2020-05-11,Kosovo,1800000,325,49500,3,533,0,0,367.7,2750.0,0.0,1.077
2020-05-12,Kosovo,1800000,381,49881,4,537,0,0,372.9,2771.17,0.0,1.077
2020-05-13,Kosovo,1800000,417,50298,4,541,0,0,374.0,2794.33,0.0,1.076
2020-05-14,Kosovo,1800000,382,50680,4,545,0,0,379.1,2815.56,0.0,1.075
2020-05-15,Kosovo,1800000,418,51098,4,549,0,0,381.9,2838.78,0.0,1.074
2020-05-16,Kosovo,1800000,415,51513,4,553,0,0,386.0,2861.83,0.0,1.074
2020-05-17,Kosovo,1800000,378,51891,4,557,0,0,388.0,2882.83,0.0,1.073
2020-05-18,Kosovo,1800000,401,52292,4,561,0,0,398.9,2905.11,0.0,1.073
2020-05-19,Kosovo,1800000,401,52693,4,565,0,0,401.7,2927.39,0.0,1.072
2020-05-20,Kosovo,1800000,403,53096,5,570,0,0,399.7,2949.78,0.0,1.074
2020-05-21,Kosovo,1800000,435,53531,4,574,0,0,407.3,2973.94,0.0,1.072
2020-05-22,Kosovo,1800000,451,53982,4,578,0,0,412.0,2999.0,0.0,1.071
2020-05-23,Kosovo,1800000,416,54398,5,583,0,0,412.1,3022.11,0.0,1.072
2020-05-24,Kosovo,1800000,430,54828,4,587,0,0,419.6,3046.0,0.0,1.071
2020-05-25,Kosovo,1800000,428,55256,4,591,0,0,423.4,3069.78,0.0,1.07
2020-05-26,Kosovo,1800000,427,55683,5,596,0,0,427.1,3093.5,0.0,1.07
2020-05-27,Kosovo,1800000,450,56133,5,601,0,0,433.9,3118.5,0.0,1.071
2020-05-28,Kosovo,1800000,466,56599,5,606,0,0,438.3,3144.39,0.0,1.071
2020-05-29,Kosovo,1800000,470,57069,5,611,0,0,441.0,3170.5,0.0,1.071
2020-05-30,Kosovo,1800000,447,57516,5,616,0,0,445.4,3195.33,0.0,1.071
2020-05-31,Kosovo,1800000,481,57997,6,622,0,0,452.7,3222.06,0.0,1.072
2020-06-01,Kosovo,1800000,474,58471,5,627,0,0,459.3,3248.39,0.0,1.072
2020-06-02,Kosovo,1800000,503,58974,5,632,0,0,470.1,3276.33,0.0,1.072
2020-06-03,Kosovo,1800000,496,59470,5,637,0,0,476.7,3303.89,0.0,1.071
2020-06-04,Kosovo,1800000,488,59958,6,643,0,0,479.9,3331.0,0.0,1.072
2020-06-05,Kosovo,1800000,513,60471,6,649,0,0,486.0,3359.5,0.0,1.073
2020-06-06,Kosovo,1800000,527,60998,6,655,0,0,497.4,3388.78,0.0,1.074
2020-06-07,Kosovo,1800000,522,61520,6,661,0,0,503.3,3417.78,0.0,1.074
2020-06-08,Kosovo,1800000,521,62041,6,667,0,0,510.0,3446.72,0.0,1.075
2020-06-09,Kosovo,1800000,523,62564,6,673,0,0,512.9,3475.78,0.0,1.076
2020-06-10,Kosovo,1800000,512,63076,6,679,0,0,515.1,3504.22,0.0,1.076
2020-06-11,Kosovo,1800000,515,63591,5,684,0,0,519.0,3532.83,0.0,1.076
2020-06-12,Kosovo,1800000,559,64150,7,691,0,0,525.6,3563.89,0.0,1.077
2020-06-13,Kosovo,1800000,555,64705,6,697,0,0,529.6,3594.72,0.0,1.077
2020-06-14,Kosovo,1800000,550,65255,6,703,0,0,533.6,3625.28,0.0,1.077
2020-06-15,Kosovo,1800000,557,65812,6,709,0,0,538.7,3656.22,0.0,1.077
2020-06-16,Kosovo,1800000,578,66390,6,715,0,0,546.6,3688.33,0.0,1.077
2020-06-17,Kosovo,1800000,551,66941,6,721,0,0,552.1,3718.94,0.0,1.077
2020-06-18,Kosovo,1800000,579,67520,6,727,0,0,561.3,3751.11,0.0,1.077
2020-06-19,Kosovo,1800000,562,68082,6,733,0,0,561.7,3782.33,0.0,1.077
2020-06-20,Kosovo,1800000,587,68669,6,739,0,0,566.3,3814.94,0.0,1.076
2020-06-21,Kosovo,1800000,579,69248,7,746,0,0,570.4,3847.11,0.0,1.077
2020-06-22,Kosovo,1800000,567,69815,6,752,0,0,571.9,3878.61,0.0,1.077
2020-06-23,Kosovo,1800000,585,70400,6,758,0,0,572.9,3911.11,0.0,1.077
2020-06-24,Kosovo,1800000,609,71009,7,765,0,0,581.1,3944.94,0.0,1.077
2020-06-25,Kosovo,1800000,623,71632,7,772,0,0,587.4,3979.56,0.0,1.078
2020-06-26,Kosovo,1800000,613,72245,6,778,0,0,594.7,4013.61,0.0,1.077
2020-06-27,Kosovo,1800000,618,72863,7,785,0,0,599.1,4047.94,0.0,1.077
2020-06-28,Kosovo,1800000,628,73491,7,792,0,0,606.1,4082.83,0.0,1.078
2020-06-29,Kosovo,1800000,637,74128,8,800,0,0,616.1,4118.22,0.0,1.079
2020-06-30,Kosovo,1800000,630,74758,7,807,0,0,622.6,4153.22,0.0,1.079
2020-07-01,Kosovo,1800000,649,75407,7,814,0,0,628.3,4189.28,0.0,1.079
2020-07-02,Kosovo,1800000,645,76052,7,821,0,0,631.4,4225.11,0.0,1.08
2020-07-03,Kosovo,1800000,647,76699,7,828,0,0,636.3,4261.06,0.0,1.08
2020-07-04,Kosovo,1800000,651,77350,8,836,0,0,641.0,4297.22,0.0,1.081
2020-07-05,Kosovo,1800000,681,78031,8,844,0,0,648.6,4335.06,0.0,1.082
2020-07-06,Kosovo,1800000,697,78728,8,852,0,0,657.1,4373.78,0.0,1.082
2020-07-07,Kosovo,1800000,679,79407,8,860,0,0,664.1,4411.5,0.0,1.083
2020-07-08,Kosovo,1800000,706,80113,8,868,0,0,672.3,4450.72,0.0,1.083
2020-07-09,Kosovo,1800000,656,80769,7,875,0,0,673.9,4487.17,0.0,1.083
2020-07-10,Kosovo,1800000,637,81406,7,882,0,0,672.4,4522.56,0.0,1.083
2020-07-11,Kosovo,1800000,665,82071,8,890,0,0,674.4,4559.5,0.0,1.084
2020-07-12,Kosovo,1800000,689,82760,9,899,0,0,675.6,4597.78,0.0,1.086
2020-07-13,Kosovo,1800000,703,83463,8,907,0,0,676.4,4636.83,0.0,1.087
2020-07-14,Kosovo,1800000,673,84136,8,915,0,0,675.6,4674.22,0.0,1.088
2020-07-15,Kosovo,1800000,669,84805,8,923,0,0,670.3,4711.39,0.0,1.088
2020-07-16,Kosovo,1800000,718,85523,8,931,0,0,679.1,4751.28,0.0,1.089
2020-07-17,Kosovo,1800000,669,86192,8,939,0,0,683.7,4788.44,0.0,1.089
2020-07-18,Kosovo,1800000,701,86893,8,947,0,0,688.9,4827.39,0.0,1.09
2020-07-19,Kosovo,1800000,678,87571,7,954,0,0,687.3,4865.06,0.0,1.089
2020-07-20,Kosovo,1800000,709,88280,8,962,0,0,688.1,4904.44,0.0,1.09
2020-07-21,Kosovo,1800000,704,88984,8,970,0,0,692.6,4943.56,0.0,1.09
2020-07-22,Kosovo,1800000,696,89680,8,978,0,0,696.4,4982.22,0.0,1.091
2020-07-23,Kosovo,1800000,720,90400,8,986,0,0,696.7,5022.22,0.0,1.091
2020-07-24,Kosovo,1800000,733,91133,8,994,0,0,705.9,5062.94,0.0,1.091
2020-07-25,Kosovo,1800000,695,91828,8,1002,0,0,705.0,5101.56,0.0,1.091
2020-07-26,Kosovo,1800000,732,92560,8,1010,0,0,712.7,5142.22,0.0,1.091
2020-07-27,Kosovo,1800000,756,93316,9,1019,0,0,719.4,5184.22,0.0,1.092
2020-07-28,Kosovo,1800000,751,94067,9,1028,0,0,726.1,5225.94,0.0,1.093
2020-07-29,Kosovo,1800000,769,94836,9,1037,0,0,736.6,5268.67,0.0,1.093
2020-07-30,Kosovo,1800000,730,95566,9,1046,0,0,738.0,5309.22,0.0,1.095
2020-07-31,Kosovo,1800000,748,96314,9,1055,0,0,740.1,5350.78,0.0,1.095
2020-08-01,Kosovo,1800000,721,97035,8,1063,0,0,743.9,5390.83,0.0,1.095
2020-08-02,Kosovo,1800000,759,97794,8,1071,0,0,747.7,5433.0,0.0,1.095
2020-08-03,Kosovo,1800000,720,98514,7,1078,0,0,742.6,5473.0,0.0,1.094
2020-08-04,Kosovo,1800000,738,99252,9,1087,0,0,740.7,5514.0,0.0,1.095
2020-08-05,Kosovo,1800000,772,100024,9,1096,0,0,741.1,5556.89,0.0,1.096
2020-08-06,Kosovo,1800000,775,100799,8,1104,0,0,747.6,5599.94,0.0,1.095
2020-08-07,Kosovo,1800000,720,101519,8,1112,0,0,743.6,5639.94,0.0,1.095
2020-08-08,Kosovo,1800000,762,102281,9,1121,0,0,749.4,5682.28,0.0,1.096
2020-08-09,Kosovo,1800000,722,103003,8,1129,0,0,744.1,5722.39,0.0,1.096
2020-08-10,Kosovo,1800000,741,103744,9,1138,0,0,747.1,5763.56,0.0,1.097
2020-08-11,Kosovo,1800000,775,104519,8,1146,0,0,752.4,5806.61,0.0,1.096
2020-08-12,Kosovo,1800000,764,105283,8,1154,0,0,751.3,5849.06,0.0,1.096
2020-08-13,Kosovo,1800000,776,106059,9,1163,0,0,751.4,5892.17,0.0,1.097
2020-08-14,Kosovo,1800000,764,106823,9,1172,0,0,757.7,5934.61,0.0,1.097
2020-08-15,Kosovo,1800000,776,107599,8,1180,0,0,759.7,5977.72,0.0,1.097
2020-08-16,Kosovo,1800000,788,108387,9,1189,0,0,769.1,6021.5,0.0,1.097
2020-08-17,Kosovo,1800000,784,109171,8,1197,0,0,775.3,6065.06,0.0,1.096
2020-08-18,Kosovo,1800000,833,110004,10,1207,0,0,783.6,6111.33,0.0,1.097
2020-08-19,Kosovo,1800000,789,110793,9,1216,0,0,787.1,6155.17,0.0,1.098
2020-08-20,Kosovo,1800000,803,111596,9,1225,0,0,791.0,6199.78,0.0,1.098
2020-08-21,Kosovo,1800000,820,112416,10,1235,0,0,799.0,6245.33,0.0,1.099
2020-08-22,Kosovo,1800000,803,113219,9,1244,0,0,802.9,6289.94,0.0,1.099
2020-08-23,Kosovo,1800000,811,114030,8,1252,0,0,806.1,6335.0,0.0,1.098
2020-08-24,Kosovo,1800000,792,114822,10,1262,0,0,807.3,6379.0,0.0,1.099
2020-08-25,Kosovo,1800000,853,115675,10,1272,0,0,810.1,6426.39,0.0,1.1
2020-08-26,Kosovo,1800000,837,116512,10,1282,0,0,817.0,6472.89,0.0,1.1
2020-08-27,Kosovo,1800000,885,117397,11,1293,0,0,828.7,6522.06,0.0,1.101
2020-08-28,Kosovo,1800000,830,118227,9,1302,0,0,830.1,6568.17,0.0,1.101
2020-08-29,Kosovo,1800000,807,119034,9,1311,0,0,830.7,6613.0,0.0,1.101
2020-08-30,Kosovo,1800000,825,119859,9,1320,0,0,832.7,6658.83,0.0,1.101
2020-08-31,Kosovo,1800000,830,120689,9,1329,0,0,838.1,6704.94,0.0,1.101
2020-09-01,Kosovo,1800000,875,121564,10,1339,0,0,841.3,6753.56,0.0,1.101
2020-09-02,Kosovo,1800000,847,122411,10,1349,0,0,842.7,6800.61,0.0,1.102
2020-09-03,Kosovo,1800000,851,123262,9,1358,0,0,837.9,6847.89,0.0,1.102
2020-09-04,Kosovo,1800000,880,124142,10,1368,0,0,845.0,6896.78,0.0,1.102
2020-09-05,Kosovo,1800000,836,124978,9,1377,0,0,849.1,6943.22,0.0,1.102
2020-09-06,Kosovo,1800000,841,125819,9,1386,0,0,851.4,6989.94,0.0,1.102
2020-09-07,Kosovo,1800000,877,126696,11,1397,0,0,858.1,7038.67,0.0,1.103
2020-09-08,Kosovo,1800000,839,127535,10,1407,0,0,853.0,7085.28,0.0,1.103
2020-09-09,Kosovo,1800000,856,128391,10,1417,0,0,854.3,7132.83,0.0,1.104
2020-09-10,Kosovo,1800000,860,129251,9,1426,0,0,855.6,7180.61,0.0,1.103
2020-09-11,Kosovo,1800000,875,130126,10,1436,0,0,854.9,7229.22,0.0,1.104
2020-09-12,Kosovo,1800000,883,131009,10,1446,0,0,861.6,7278.28,0.0,1.104
2020-09-13,Kosovo,1800000,877,131886,10,1456,0,0,866.7,7327.0,0.0,1.104
2020-09-14,Kosovo,1800000,874,132760,10,1466,0,0,866.3,7375.56,0.0,1.104
2020-09-15,Kosovo,1800000,896,133656,10,1476,0,0,874.4,7425.33,0.0,1.104
2020-09-16,Kosovo,1800000,892,134548,11,1487,0,0,879.6,7474.89,0.0,1.105
2020-09-17,Kosovo,1800000,863,135411,10,1497,0,0,880.0,7522.83,0.0,1.106
2020-09-18,Kosovo,1800000,883,136294,10,1507,0,0,881.1,7571.89,0.0,1.106
2020-09-19,Kosovo,1800000,884,137178,9,1516,0,0,881.3,7621.0,0.0,1.105
2020-09-20,Kosovo,1800000,871,138049,10,1526,0,0,880.4,7669.39,0.0,1.105
2020-09-21,Kosovo,1800000,907,138956,10,1536,0,0,885.1,7719.78,0.0,1.105
2020-09-22,Kosovo,1800000,916,139872,10,1546,0,0,888.0,7770.67,0.0,1.105
2020-09-23,Kosovo,1800000,905,140777,10,1556,0,0,889.9,7820.94,0.0,1.105
2020-09-24,Kosovo,1800000,896,141673,10,1566,0,0,894.6,7870.72,0.0,1.105
2020-09-25,Kosovo,1800000,894,142567,10,1576,0,0,896.1,7920.39,0.0,1.105
2020-09-26,Kosovo,1800000,930,143497,10,1586,0,0,902.7,7972.06,0.0,1.105
2020-09-27,Kosovo,1800000,928,144425,10,1596,0,0,910.9,8023.61,0.0,1.105
2020-09-28,Kosovo,1800000,924,145349,11,1607,0,0,913.3,8074.94,0.0,1.106
2020-09-29,Kosovo,1800000,871,146220,10,1617,0,0,906.9,8123.33,0.0,1.106
2020-09-30,Kosovo,1800000,927,147147,11,1628,0,0,910.0,8174.83,0.0,1.106
2020-10-01,Kosovo,1800000,924,148071,10,1638,0,0,914.0,8226.17,0.0,1.106
2020-10-02,Kosovo,1800000,920,148991,10,1648,0,0,917.7,8277.28,0.0,1.106
2020-10-03,Kosovo,1800000,940,149931,11,1659,0,0,919.1,8329.5,0.0,1.107
2020-10-04,Kosovo,1800000,926,150857,10,1669,0,0,918.9,8380.94,0.0,1.106
2020-10-05,Kosovo,1800000,912,151769,10,1679,0,0,917.1,8431.61,0.0,1.106
2020-10-06,Kosovo,1800000,928,152697,10,1689,0,0,925.3,8483.17,0.0,1.106
2020-10-07,Kosovo,1800000,926,153623,11,1700,0,0,925.1,8534.61,0.0,1.107
2020-10-08,Kosovo,1800000,937,154560,11,1711,0,0,927.0,8586.67,0.0,1.107
2020-10-09,Kosovo,1800000,943,155503,11,1722,0,0,930.3,8639.06,0.0,1.107
2020-10-10,Kosovo,1800000,884,156387,10,1732,0,0,922.3,8688.17,0.0,1.108
2020-10-11,Kosovo,1800000,887,157274,10,1742,0,0,916.7,8737.44,0.0,1.108
2020-10-12,Kosovo,1800000,920,158194,11,1753,0,0,917.9,8788.56,0.0,1.108
2020-10-13,Kosovo,1800000,925,159119,11,1764,0,0,917.4,8839.94,0.0,1.109
2020-10-14,Kosovo,1800000,934,160053,10,1774,0,0,918.6,8891.83,0.0,1.108
2020-10-15,Kosovo,1800000,922,160975,11,1785,0,0,916.4,8943.06,0.0,1.109
2020-10-16,Kosovo,1800000,891,161866,11,1796,0,0,909.0,8992.56,0.0,1.11
2020-10-17,Kosovo,1800000,922,162788,10,1806,0,0,914.4,9043.78,0.0,1.109
2020-10-18,Kosovo,1800000,926,163714,12,1818,0,0,920.0,9095.22,0.0,1.11
2020-10-19,Kosovo,1800000,917,164631,11,1829,0,0,919.6,9146.17,0.0,1.111
